Name,Info,Ratings,Highly_rated_for,Critically_rated_for,Number_of_Voters
Macleods Pharmaceuticals,Pharma | 10k-50k Employees | Public | 38 years old | Mumbai +98 more,3.8,Job Security,"Promotions / Appraisal, Company Culture",2.9k
Team Lease,Recruitment | 1k-5k Employees | Public | 8 years old | Bangalore/Bengaluru +314 more,4,,Promotions / Appraisal,2.9k
Havells,Electrical Equipment | 5k-10k Employees | Public | 41 years old | Noida +186 more,4.1,"Work Life Balance, Salary & Benefits, Company Culture",,2.9k
R1 RCM,Healthcare | 5k-10k Employees | 17 years old | Murray +32 more,3.9,"Job Security, Company Culture, Work Life Balance",,2.9k
EY Global Delivery Services ( EY GDS),Accounting & Auditing | 50k-1 Lakh Employees | 22 years old | Bangalore/Bengaluru +38 more,3.6,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",2.9k
Tata Capital,NBFC | 5k-10k Employees | Fortune India 500 | 17 years old | Mumbai +243 more,4.1,"Job Security, Company Culture, Skill Development / Learning",,2.9k
Hetero Drugs,Pharma | 1k-5k Employees | 31 years old | Hyderabad/Secunderabad +47 more,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",2.8k
Access Healthcare,IT Services & Consulting | 5k-10k Employees | 13 years old | Dallas +33 more,4,"Job Security, Company Culture",Promotions / Appraisal,2.8k
Viatris,Pharma | 10k-50k Employees | Forbes Global 2000 | 4 years old | Canonsburg +69 more,4.2,"Salary & Benefits, Job Security, Work Life Balance",,2.8k
Whitehat jr,EdTech | 5k-10k Employees | Startup | 6 years old | Mumbai +51 more,3.5,,"Job Security, Promotions / Appraisal, Company Culture",2.8k
Cummins,Industrial Machinery | 1k-5k Employees | Fortune India 500 | 105 years old | Columbus +85 more,4.3,"Company Culture, Work Life Balance, Skill Development / Learning",,2.8k
Publicis Sapient,IT Services & Consulting | 10k-50k Employees | 34 years old | New York +30 more,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",2.8k
American Express,Financial Services | 10k-50k Employees | Forbes Global 2000 | 174 years old | New York City +41 more,4.2,"Company Culture, Work Life Balance, Job Security",,2.8k
VE Commercial Vehicles,Automobile | 1k-5k Employees | 16 years old | Gurgaon/Gurugram +130 more,4.1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2.8k
Tata AIA Life Insurance,Insurance | 10k-50k Employees | 23 years old | Mumbai +343 more,4,"Job Security, Salary & Benefits, Skill Development / Learning",,2.8k
Abbott,Pharma | 10k-50k Employees | Public | 136 years old | Illinois City +173 more,4.2,"Salary & Benefits, Company Culture, Skill Development / Learning",Promotions / Appraisal,2.8k
Aakash Educational Services,EdTech | 5k-10k Employees | 36 years old | New Delhi +214 more,3.6,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",2.8k
Subros,Auto Components | 1k-5k Employees | Public | 39 years old | Noida +61 more,4,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",2.8k
Indian Oil Corporation,Oil & Gas | 10k-50k Employees | Fortune India 500 | 65 years old | Delhi/NCR +263 more,4.4,"Company Culture, Work Life Balance, Job Security",,2.8k
Automatic Data Processing (ADP),Software Product | 1k-5k Employees | Forbes Global 2000 | 75 years old | New Jersey +30 more,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,2.8k
Bharat Electronics,Electronics Manufacturing | 5k-10k Employees | Fortune India 500 | 70 years old | Bangalore/Bengaluru +55 more,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,2.8k
Sodexo,Facility Management Services | 10k-50k Employees | Forbes Global 2000 | 16 years old | Issy les Moulineaux +134 more,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",,2.8k
Pidilite Industries,Chemicals | 5k-10k Employees | Public | 65 years old | Mumbai +248 more,4.3,"Job Security, Company Culture, Work Life Balance",,2.7k
Alembic Pharmaceuticals,Pharma | 10k-50k Employees | Public | 117 years old | Vadodara/Baroda +156 more,4,"Salary & Benefits, Work Life Balance",,2.7k
Atos,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 27 years old | Vilnius +43 more,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",2.7k
Barclays,Banking | 10k-50k Employees | Forbes Global 2000 | 334 years old | London +32 more,4,"Job Security, Salary & Benefits, Company Culture",,2.7k
Utkarsh Small Finance Bank,Banking | 10k-50k Employees | Public | 15 years old | Varanasi +314 more,3.9,,,2.7k
Berger Paints,Chemicals | 1k-5k Employees | Public | 101 years old | Kolkata +266 more,3.8,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",2.7k
DCB Bank,Banking | 5k-10k Employees | Fortune India 500 | 94 years old | Mumbai +309 more,3.8,"Work Life Balance, Job Security",,2.7k
Carelon Global Solutions,IT Services & Consulting | 10k-50k Employees | Hyderabad / Secunderabad +14 more,4,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,2.7k
Ford Motor,Automobile | 5k-10k Employees | Public | 121 years old | Dearborn +110 more,4.4,"Company Culture, Work Life Balance, Salary & Benefits",,2.7k
Hindalco Industries,Metals & Mining | 10k-50k Employees | Public | 66 years old | Mumbai +90 more,4.3,"Job Security, Skill Development / Learning, Company Culture",,2.6k
Bank of America,Banking | 10k-50k Employees | Fortune India 500 | 26 years old | Charlotte +28 more,4.4,"Job Security, Work Life Balance, Company Culture",,2.6k
Alkem Laboratories,Pharma | 10k-50k Employees | Public | 51 years old | Mumbai +167 more,3.9,,,2.6k
PolicyBazaar,Internet | 10k-50k Employees | Public | 16 years old | Gurgaon +97 more,3.4,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction",2.6k
Vishal Mega Mart,Retail | 10k-50k Employees | 16 years old | Gurgaon/Gurugram +323 more,3.8,Salary & Benefits,,2.6k
Johnson Controls,Industrial Automation | 5k-10k Employees | Public | 139 years old | Cork +50 more,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",2.6k
Indian Air Force,Defence & Aerospace | 1 Lakh+ Employees | 92 years old | New Delhi +119 more,4.6,"Job Security, Skill Development / Learning, Salary & Benefits",,2.6k
Maersk,Logistics | 10k-50k Employees | 120 years old | Copenhagen +36 more,4.3,"Company Culture, Work Life Balance, Job Security",,2.6k
24/7 Customer,BPO | 5k-10k Employees | 24 years old | San Jose +29 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.6k
Ipca Laboratories,Pharma | 10k-50k Employees | Public | 75 years old | Mumbai +133 more,4,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",2.5k
Jindal Steel and Power,Iron & Steel | 5k-10k Employees | Fortune India 500 | 45 years old | Delhi/NCR +127 more,4,"Skill Development / Learning, Job Security",,2.5k
Cogent E Services,BPO | 10k-50k Employees | Conglomerate | 20 years old | Noida +37 more,3.3,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",2.5k
Escorts Kubota Limited,Automobile | 1k-5k Employees | Public | 80 years old | Faridabad +138 more,4.1,"Skill Development / Learning, Work Life Balance, Company Culture",,2.5k
HDFC Ergo General Insurance,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +243 more,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,2.5k
Aarti Industries,Agro Chemicals | 5k-10k Employees | Public | 49 years old | Mumbai +43 more,4.2,"Job Security, Work Life Balance, Skill Development / Learning",,2.5k
Glenmark Pharmaceuticals,Pharma | 10k-50k Employees | Public | 47 years old | Mumbai +143 more,4,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,2.5k
UnitedHealth,Healthcare | 10k-50k Employees | Forbes Global 2000 | 47 years old | Minnetonka +16 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,2.5k
RBL Bank,Banking | 10k-50k Employees | Public | 81 years old | Mumbai +232 more,3.7,,Promotions / Appraisal,2.5k
Hindustan Coca Cola Beverages,Beverage | 5k-10k Employees | 27 years old | Bangalore +220 more,4.2,"Salary & Benefits, Skill Development / Learning, Company Culture",,2.5k
Lenskart,Internet | 5k-10k Employees | Indian Unicorn | 14 years old | Faridabad +171 more,3.3,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",2.5k
Reliance Digital,Retail | 5k-10k Employees | 17 years old | Mumbai +313 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,2.5k
Honda Motorcycle & Scooter,Automobile | 10k-50k Employees | 23 years old | Gurgaon/Gurugram +228 more,4.1,"Job Security, Work Life Balance, Company Culture",,2.5k
Paras Hospital,Healthcare | 1k-5k Employees | 18 years old | Gurgaon/Gurugram +49 more,4.6,"Skill Development / Learning, Work Life Balance, Company Culture",,2.5k
Synechron,IT Services & Consulting | 10k-50k Employees | 23 years old | New York +27 more,3.6,Salary & Benefits,"Job Security, Promotions / Appraisal",2.5k
Birlasoft,IT Services & Consulting | 10k-50k Employees | Public | 29 years old | Pune +38 more,3.8,,"Promotions / Appraisal, Salary & Benefits",2.5k
DTDC Express,Logistics | 1k-5k Employees | 34 years old | Bangalore/Bengaluru +232 more,3.8,,"Promotions / Appraisal, Salary & Benefits",2.5k
Jubilant Foods Works,Hospitality | 10k-50k Employees | Public | 29 years old | Noida +204 more,3.8,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",2.5k
MRF Tyres,Auto Components | 10k-50k Employees | Public | 78 years old | Chennai +164 more,3.8,Job Security,"Company Culture, Work Satisfaction, Work Life Balance",2.5k
Kotak Mahindara Life Insurance,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +215 more,3.9,Job Security,,2.5k
Reliance Nippon Life Insurance,Insurance | 10k-50k Employees | 24 years old | Mumbai +438 more,3.8,,Promotions / Appraisal,2.5k
PNB MetLife,Insurance | 5k-10k Employees | Conglomerate | 23 years old | Mumbai +332 more,3.5,,"Job Security, Work Satisfaction, Company Culture",2.4k
Ceat Tyres,Auto Components | 5k-10k Employees | Public | 66 years old | Mumbai +117 more,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,2.4k
ABB Group,Electrical Equipment | 1k-5k Employees | Public | 36 years old | Zurich +97 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,2.4k
JK Cement,Building Material | 1k-5k Employees | Public | 49 years old | Nimbahera +250 more,4.2,"Salary & Benefits, Job Security, Company Culture",,2.4k
GeBBS Healthcare Solutions,BPO | 5k-10k Employees | 19 years old | Culver City +19 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.4k
NatWest Group,Banking | 10k-50k Employees | Forbes Global 2000 | Gurgaon / Gurugram +22 more,4,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",2.4k
Conduent,BPO | 5k-10k Employees | 7 years old | Florham Park +23 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",2.4k
CMS IT Services,IT Services & Consulting | 5k-10k Employees | Startup | 10 years old | Bangalore +139 more,3.1,,"Promotions / Appraisal, Salary & Benefits, Company Culture",2.4k
InterGlobe Aviation,Aviation | 10k-50k Employees | Fortune India 500 | 19 years old | Gurgaon/Gurugram +90 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.4k
HARMAN,Consumer Electronics & Appliances | 5k-10k Employees | Public | 15 years old | Stamford +32 more,3.9,Work Life Balance,Promotions / Appraisal,2.4k
Dabur,FMCG | 5k-10k Employees | Public | 140 years old | Ghaziabad +259 more,3.8,,Promotions / Appraisal,2.4k
Wipro Infotech,IT Services & Consulting | 1 Lakh+ Employees (Global) | MNC | 79 years old | Bangalore +120 more,4,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2.4k
KPIT Technologies,Software Product | 5k-10k Employees | Public | 34 years old | Pune +32 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Job Security",2.4k
Reliance SMSL,BPO | 1k-5k Employees | Public | 17 years old | Mumbai +492 more,4,"Skill Development / Learning, Salary & Benefits, Work Life Balance",Promotions / Appraisal,2.3k
RSPL Group,FMCG | 10k-50k Employees | 36 years old | Kanpur +211 more,4.2,"Job Security, Skill Development / Learning, Work Life Balance",,2.3k
Tech Mahindra Business Services,BPO | 5k-10k Employees | Public | 21 years old | Mumbai +50 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.3k
IGT Solutions,IT Services & Consulting | 5k-10k Employees | 26 years old | Gurgaon/Gurugram +35 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.3k
Square Yards,Real Estate | 1k-5k Employees | 10 years old | Gurgaon / Gurugram +43 more,3.7,,,2.3k
IDFC FIRST Bharat,NBFC | 10k-50k Employees | 8 years old | Tiruchirappalli +311 more,4.5,"Salary & Benefits, Company Culture, Job Security",,2.3k
ACC,Building Material | 5k-10k Employees | Public | 88 years old | Mumbai +224 more,4,,Promotions / Appraisal,2.3k
Tata AIG,Insurance | 5k-10k Employees | 24 years old | Mumbai +225 more,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,2.3k
UPL,Agriculture | 5k-10k Employees | Public | 55 years old | Mumbai +162 more,4.2,"Job Security, Skill Development / Learning, Work Life Balance",,2.3k
TVS Credit,NBFC | 10k-50k Employees | Public | 16 years old | Chennai +319 more,4.4,"Company Culture, Job Security, Skill Development / Learning",,2.3k
Shoppers Stop,Retail | 5k-10k Employees | Public | 33 years old | Mumbai +68 more,4.1,"Job Security, Company Culture, Skill Development / Learning",,2.3k
Wipro Consumer Care & Lighting,FMCG | 1k-5k Employees | 79 years old | Bangalore/Bengaluru +96 more,3.9,Job Security,Promotions / Appraisal,2.3k
Titan Company,Retail | 5k-10k Employees | Public | 40 years old | Bangalore +148 more,4.4,"Company Culture, Job Security, Skill Development / Learning",,2.3k
S&P Global,Analytics & KPO | 10k-50k Employees | Public | 164 years old | New York City +30 more,4.2,"Company Culture, Work Life Balance, Job Security",,2.3k
Alstom Transportation,Urban Transport | 5k-10k Employees | Forbes Global 2000 | 96 years old | Saint-Ouen +67 more,3.8,Job Security,Promotions / Appraisal,2.3k
ArcelorMittal Nippon Steel,Iron & Steel | 5k-10k Employees | Conglomerate | Surat +71 more,4.1,"Job Security, Skill Development / Learning, Work Life Balance",,2.3k
Aditya Birla Sun Life Insurance,Insurance | 10k-50k Employees | 24 years old | Mumbai +381 more,4.1,"Job Security, Company Culture, Work Life Balance",,2.3k
Torrent Pharmaceuticals,Pharma | 10k-50k Employees | Public | 53 years old | Ahmedabad +101 more,3.9,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",2.2k
PepsiCo,Food Processing | 1 Lakh+ Employees | Public | 59 years old | Harrison +228 more,4.1,"Company Culture, Work Life Balance, Job Security",,2.2k
State Street Corporation,Financial Services | 10k-50k Employees | Forbes Global 2000 | 232 years old | Boston +20 more,3.8,Job Security,Promotions / Appraisal,2.2k
Statestreet HCL Services,BPO | 5k-10k Employees | 12 years old | New Delhi +16 more,3.3,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",2.2k
Dilip Buildcon,Engineering & Construction | 10k-50k Employees | Public | 37 years old | Bhopal +195 more,4,"Work Satisfaction, Skill Development / Learning",,2.2k
GATI-KWE,Logistics | 1k-5k Employees | 12 years old | Hyderabad/Secunderabad +156 more,4,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,2.2k
Flex,Logistics | 5k-10k Employees | Forbes Global 2000 | 55 years old | Austin +39 more,4.1,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,2.2k
Zensar Technologies,IT Services & Consulting | 5k-10k Employees | Public | 23 years old | Pune +22 more,3.8,Work Life Balance,Promotions / Appraisal,2.2k
Afcons Infrastructure,Engineering & Construction | 5k-10k Employees | 65 years old | Mumbai +101 more,4.3,"Job Security, Skill Development / Learning, Company Culture",,2.2k
Tata Technologies,Engineering & Construction | 5k-10k Employees | Conglomerate | 35 years old | Singapore +40 more,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.2k
