Name,Info,Ratings,Highly_rated_for,Critically_rated_for,Number_of_Voters
Oyo Rooms,Hospitality | 1k-5k Employees | Indian Unicorn | 12 years old | Gurgaon +116 more,3.4,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.4k
JBM Group,Auto Components | 1k-5k Employees | Public | 41 years old | Gurgaon/Gurugram +88 more,4,"Job Security, Skill Development / Learning",,3.4k
SBI Life Insurance Company,Insurance | 10k-50k Employees | 23 years old | Mumbai +541 more,3.9,Job Security,Promotions / Appraisal,3.4k
Ecom Express,Logistics | 10k-50k Employees | 12 years old | Gurgaon +640 more,4,Skill Development / Learning,,3.3k
BT Group,Telecom | 10k-50k Employees | Forbes Global 2000 | 178 years old | London +18 more,4,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,3.3k
Reliance Communications,Telecom | 201-500 Employees | Public | 22 years old | Navi Mumbai +430 more,4,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal,3.3k
Bajaj Auto,Automobile | 5k-10k Employees | Public | 79 years old | Pune +265 more,3.9,,Promotions / Appraisal,3.3k
Persistent Systems,IT Services & Consulting | 10k-50k Employees | Public | 34 years old | Pune +34 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Job Security",3.3k
KEC International,Engineering & Construction | 5k-10k Employees | Public | 79 years old | Mumbai +265 more,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,3.3k
Nagarjuna Construction Company,Engineering & Construction | 5k-10k Employees | Public | 26 years old | Hyderabad/Secunderabad +228 more,4.2,"Job Security, Salary & Benefits, Skill Development / Learning",,3.2k
Marpu Foundation,Non-Profit | 51-200 Employees | 8 years old | Hyderabad/Secunderabad +60 more,4.9,"Company Culture, Work Life Balance, Work Satisfaction",,3.2k
Muthoot Fincorp,NBFC | 10k-50k Employees | Conglomerate | 137 years old | Trivandrum/Thiruvananthapuram +555 more,4,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",3.2k
Piramal Capital Housing Finance,NBFC | 1k-5k Employees | 4 years old | Mumbai +337 more,4.2,"Company Culture, Skill Development / Learning, Work Life Balance",,3.2k
Aditya Birla Fashion and Retail,Fashion & Textile | 10k-50k Employees | Fortune India 500 | 36 years old | Mumbai +234 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,3.2k
CARS24,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Gurgaon +151 more,3.6,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.1k
Varun Beverages,Beverage | 5k-10k Employees | Public | 29 years old | Gurgaon/Gurugram +293 more,4.1,"Job Security, Salary & Benefits",,3.1k
Royal Enfield,Automobile | 5k-10k Employees | 123 years old | Gurgaon/Gurugram +316 more,4.3,"Skill Development / Learning, Company Culture, Work Satisfaction",,3.1k
L&T Finance,NBFC | 10k-50k Employees | Public | 30 years old | Mumbai +482 more,4,Salary & Benefits,,3k
Tata Communications,Telecom | 5k-10k Employees | Public | 38 years old | Mumbai +89 more,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3k
ITC Infotech,IT Services & Consulting | 10k-50k Employees | 24 years old | Bangalore/Bengaluru +54 more,3.8,"Work Life Balance, Job Security",Promotions / Appraisal,3k
John Deere,Industrial Machinery | 5k-10k Employees | Fortune India 500 | 23 years old | Moline +122 more,4.2,"Company Culture, Skill Development / Learning, Work Life Balance",,3k
LG Electronics,Consumer Electronics & Appliances | 1k-5k Employees | Public | 66 years old | Seoul +254 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,3k
Randstad,Recruitment | 5k-10k Employees | Conglomerate | 32 years old | Chennai +267 more,3.9,,"Promotions / Appraisal, Job Security",3k
Intas Pharmaceuticals,Pharma | 10k-50k Employees | Fortune India 500 | 47 years old | Ahmedabad +118 more,4.2,"Job Security, Salary & Benefits, Work Life Balance",,3k
Kogta Financial India Limited,NBFC | 1k-5k Employees | Public | 28 years old | Jaipur +207 more,4.8,"Company Culture, Work Life Balance, Work Satisfaction",,3k
Future Group,Retail | 10k-50k Employees | Conglomerate | 11 years old | Mumbai +202 more,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",,3k
Deutsche Bank,Banking | 10k-50k Employees | Fortune India 500 | 154 years old | Frankfurt +38 more,4,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3k
Samvardhana Motherson Group,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +82 more,3.8,Job Security,Promotions / Appraisal,2.9k
Thermax Limited,Industrial Machinery | 1k-5k Employees | Public | 58 years old | Pune +187 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,2.9k
Godrej & Boyce Manufacturing,Consumer Electronics & Appliances | 10k-50k Employees | Fortune India 500 | 127 years old | Mumbai +133 more,3.9,Job Security,Promotions / Appraisal,2.9k
